year,team,rank
1970,Essendon,11
1970,North Melbourne,12
1971,Hawthorn,1
1971,St Kilda,2
1971,Richmond,3
1971,Collingwood,4
1971,Carlton,5
1971,Melbourne,7
1971,Western Bulldogs,8
1971,North Melbourne,9
1971,Geelong,10
1971,Essendon,11
1971,Sydney,12
1972,Carlton,1
1972,Richmond,2
1972,Collingwood,3
1972,St Kilda,4
1972,Essendon,5
1972,Hawthorn,6
1972,Western Bulldogs,7
1972,Melbourne,8
1972,Geelong,10
1972,Sydney,11
1972,North Melbourne,12
1973,Collingwood,1
1973,Richmond,2
1973,Carlton,3
1973,Essendon,4
1973,St Kilda,5
1973,North Melbourne,6
1973,Hawthorn,7
1973,Western Bulldogs,9
1973,Melbourne,10
1973,Geelong,11
1973,Sydney,12
1974,Richmond,1
1974,North Melbourne,2
1974,Hawthorn,3
1974,Collingwood,4
1974,Western Bulldogs,5
1974,Geelong,6
1974,Carlton,7
1974,Essendon,8
1974,Sydney,9
1974,St Kilda,10
1974,Melbourne,12
1975,Hawthorn,1
1975,Carlton,2
1975,North Melbourne,3
1975,Richmond,4
1975,Collingwood,5
1975,St Kilda,6
1975,Western Bulldogs,7
1975,Essendon,8
1975,Melbourne,10
1975,Geelong,11
1975,Sydney,12
1976,Carlton,1
1976,Hawthorn,2
1976,North Melbourne,3
1976,Geelong,4
1976,Western Bulldogs,5
1976,Melbourne,6
1976,Richmond,7
1976,Sydney,8
1976,St Kilda,9
1976,Essendon,10
1976,Collingwood,12
1977,Collingwood,1
1977,Hawthorn,2
1977,North Melbourne,3
1977,Richmond,4
1977,Sydney,5
1977,Carlton,6
1977,Western Bulldogs,7
1977,Geelong,8
1977,Essendon,9
1977,Melbourne,11
1977,St Kilda,12
1978,North Melbourne,1
1978,Hawthorn,2
1978,Collingwood,3
1978,Carlton,4
1978,Geelong,5
1978,St Kilda,6
1978,Richmond,7
1978,Sydney,8
1978,Essendon,10
1978,Western Bulldogs,11
1978,Melbourne,12
1979,Carlton,1
1979,North Melbourne,2
1979,Collingwood,3
1979,Essendon,5
1979,Geelong,6
1979,Hawthorn,7
1979,Richmond,8
1979,Western Bulldogs,9
1979,Sydney,10
1979,Melbourne,11
1979,St Kilda,12
1980,Geelong,1
1980,Carlton,2
1980,Richmond,3
1980,North Melbourne,4
1980,Collingwood,5
1980,Sydney,6
1980,Essendon,7
1980,Hawthorn,8
1980,Melbourne,9
1980,Western Bulldogs,10
1980,St Kilda,11
1981,Carlton,1
1981,Collingwood,2
1981,Geelong,3
1981,Essendon,4
1981,Hawthorn,6
1981,Richmond,7
1981,North Melbourne,8
1981,Sydney,9
1981,St Kilda,10
1981,Western Bulldogs,11
1981,Melbourne,12
1982,Richmond,1
1982,Hawthorn,2
1982,Carlton,3
1982,Essendon,4
1982,North Melbourne,5
1982,Sydney,7
1982,Melbourne,8
1982,Geelong,9
1982,Collingwood,10
1982,St Kilda,11
1982,Western Bulldogs,12
1983,North Melbourne,1
1983,Hawthorn,2
1983,Essendon,4
1983,Carlton,5
1983,Collingwood,6
1983,Western Bulldogs,7
1983,Melbourne,8
1983,Geelong,9
1983,Richmond,10
1983,Sydney,11
1983,St Kilda,12
1984,Essendon,1
1984,Hawthorn,2
1984,Carlton,3
1984,Collingwood,4
1984,Geelong,6
1984,Western Bulldogs,7
1984,Richmond,8
1984,Melbourne,9
1984,Sydney,10
1984,North Melbourne,11
1984,St Kilda,12
1985,Essendon,1
1985,Western Bulldogs,2
1985,Hawthorn,3
1985,Carlton,4
1985,North Melbourne,5
1985,Geelong,6
1985,Collingwood,7
1985,Richmond,8
1985,Sydney,10
1985,Melbourne,11
1985,St Kilda,12
1986,Hawthorn,1
1986,Sydney,2
1986,Carlton,3
1986,Essendon,5
1986,Collingwood,6
1986,North Melbourne,7
1986,Western Bulldogs,8
1986,Geelong,9
1986,Richmond,10
1986,Melbourne,11
1986,St Kilda,12
1987,Carlton,1
1987,Hawthorn,2
1987,Sydney,3
1987,North Melbourne,4
1987,Melbourne,5
1987,Geelong,6
1987,Western Bulldogs,7
1987,West Coast,8
1987,Essendon,9
1987,St Kilda,10
1987,Collingwood,12
1987,Brisbane Lions,13
1987,Richmond,14
1988,Hawthorn,1
1988,Collingwood,2
1988,Carlton,3
1988,West Coast,4
1988,Melbourne,5
1988,Essendon,6
1988,Sydney,7
1988,Western Bulldogs,8
1988,Geelong,9
1988,Richmond,10
1988,North Melbourne,11
1988,Brisbane Lions,13
1988,St Kilda,14
1989,Hawthorn,1
1989,Essendon,2
1989,Geelong,3
1989,Melbourne,4
1989,Collingwood,5
1989,Sydney,7
1989,Carlton,8
1989,North Melbourne,9
1989,Brisbane Lions,10
1989,West Coast,11
1989,St Kilda,12
1989,Western Bulldogs,13
1989,Richmond,14
1990,Essendon,1
1990,Collingwood,2
1990,West Coast,3
1990,Melbourne,4
1990,Hawthorn,5
1990,North Melbourne,6
1990,Western Bulldogs,7
1990,Carlton,8
1990,St Kilda,9
1990,Geelong,10
1990,Richmond,11
1990,Sydney,13
1990,Brisbane Lions,14
1991,West Coast,1
1991,Hawthorn,2
1991,Geelong,3
1991,St Kilda,4
1991,Melbourne,5
1991,Essendon,6
1991,Collingwood,7
1991,North Melbourne,8
1991,Adelaide,9
1991,Western Bulldogs,10
1991,Carlton,11
1991,Sydney,12
1991,Richmond,13
1991,Brisbane Lions,15
1992,Geelong,1
1992,Western Bulldogs,2
1992,Collingwood,3
1992,West Coast,4
1992,Hawthorn,5
1992,St Kilda,6
1992,Carlton,7
1992,Essendon,8
1992,Adelaide,9
1992,Melbourne,11
1992,North Melbourne,12
1992,Richmond,13
1992,Brisbane Lions,14
1992,Sydney,15
1993,Essendon,1
1993,Carlton,2
1993,North Melbourne,3
1993,Hawthorn,4
1993,Adelaide,5
1993,West Coast,6
1993,Geelong,7
1993,Collingwood,8
1993,Western Bulldogs,9
1993,Melbourne,10
1993,St Kilda,12
1993,Brisbane Lions,13
1993,Richmond,14
1993,Sydney,15
1994,West Coast,1
1994,Carlton,2
1994,North Melbourne,3
1994,Geelong,4
1994,Western Bulldogs,5
1994,Hawthorn,6
1994,Melbourne,7
1994,Collingwood,8
1994,Richmond,9
1994,Essendon,10
1994,Adelaide,11
1994,Brisbane Lions,12
1994,St Kilda,13
1994,Sydney,15
1995,Carlton,1
1995,Geelong,2
1995,Richmond,3
1995,Essendon,4
1995,West Coast,5
1995,North Melbourne,6
1995,Western Bulldogs,7
1995,Brisbane Lions,8
1995,Melbourne,9
1995,Collingwood,10
1995,Adelaide,11
1995,Sydney,12
1995,Fremantle,13
1995,St Kilda,14
1995,Hawthorn,15
1996,Sydney,1
1996,North Melbourne,2
1996,Brisbane Lions,3
1996,West Coast,4
1996,Carlton,5
1996,Essendon,6
1996,Geelong,7
1996,Hawthorn,8
1996,Richmond,9
1996,St Kilda,10
1996,Collingwood,11
1996,Adelaide,12
1996,Fremantle,13
1996,Melbourne,14
1996,Western Bulldogs,15
1997,St Kilda,1
1997,Geelong,2
1997,Western Bulldogs,3
1997,Adelaide,4
1997,West Coast,5
1997,Sydney,6
1997,North Melbourne,7
1997,Brisbane Lions,8
1997,Port Adelaide,9
1997,Collingwood,10
1997,Carlton,11
1997,Fremantle,12
1997,Richmond,13
1997,Essendon,14
1997,Hawthorn,15
1997,Melbourne,16
1998,North Melbourne,1
1998,Western Bulldogs,2
1998,Sydney,3
1998,Melbourne,4
1998,Adelaide,5
1998,St Kilda,6
1998,West Coast,7
1998,Essendon,8
1998,Richmond,9
1998,Port Adelaide,10
1998,Carlton,11
1998,Geelong,12
1998,Hawthorn,13
1998,Collingwood,14
1998,Fremantle,15
1998,Brisbane Lions,16
1999,Essendon,1
1999,North Melbourne,2
1999,Brisbane Lions,3
1999,Western Bulldogs,4
1999,West Coast,5
1999,Carlton,6
1999,Port Adelaide,7
1999,Sydney,8
1999,Hawthorn,9
1999,St Kilda,10
1999,Geelong,11
1999,Richmond,12
1999,Adelaide,13
1999,Melbourne,14
1999,Fremantle,15
1999,Collingwood,16
2000,Essendon,1
2000,Carlton,2
2000,Melbourne,3
2000,North Melbourne,4
2000,Geelong,5
2000,Brisbane Lions,6
2000,Western Bulldogs,7
2000,Hawthorn,8
2000,Richmond,9
2000,Sydney,10
2000,Adelaide,11
2000,Fremantle,12
2000,West Coast,13
2000,Port Adelaide,14
2000,Collingwood,15
2000,St Kilda,16
2001,Essendon,1
2001,Brisbane Lions,2
2001,Port Adelaide,3
2001,Richmond,4
2001,Carlton,5
2001,Hawthorn,6
2001,Sydney,7
2001,Adelaide,8
2001,Collingwood,9
2001,Western Bulldogs,10
2001,Melbourne,11
2001,Geelong,12
2001,North Melbourne,13
2001,West Coast,14
2001,St Kilda,15
2001,Fremantle,16
2002,Port Adelaide,1
2002,Brisbane Lions,2
2002,Adelaide,3
2002,Collingwood,4
2002,Essendon,5
2002,Melbourne,6
2002,North Melbourne,7
2002,West Coast,8
2002,Geelong,9
2002,Hawthorn,10
2002,Sydney,11
2002,Western Bulldogs,12
2002,Fremantle,13
2002,Richmond,14
2002,St Kilda,15
2002,Carlton,16
2003,Port Adelaide,1
2003,Collingwood,2
2003,Brisbane Lions,3
2003,Sydney,4
2003,Fremantle,5
2003,Adelaide,6
2003,West Coast,7
2003,Essendon,8
2003,Hawthorn,9
2003,North Melbourne,10
2003,St Kilda,11
2003,Geelong,12
2003,Richmond,13
2003,Melbourne,14
2003,Carlton,15
2003,Western Bulldogs,16
2004,Port Adelaide,1
2004,Brisbane Lions,2
2004,St Kilda,3
2004,Geelong,4
2004,Melbourne,5
2004,Sydney,6
2004,West Coast,7
2004,Essendon,8
2004,Fremantle,9
2004,North Melbourne,10
2004,Carlton,11
2004,Adelaide,12
2004,Collingwood,13
2004,Western Bulldogs,14
2004,Hawthorn,15
2004,Richmond,16
2005,Adelaide,1
2005,West Coast,2
2005,Sydney,3
2005,St Kilda,4
2005,North Melbourne,5
2005,Geelong,6
2005,Melbourne,7
2005,Port Adelaide,8
2005,Western Bulldogs,9
2005,Fremantle,10
2005,Brisbane Lions,11
2005,Richmond,12
2005,Essendon,13
2005,Hawthorn,14
2005,Collingwood,15
2005,Carlton,16
2006,West Coast,1
2006,Adelaide,2
2006,Fremantle,3
2006,Sydney,4
2006,Collingwood,5
2006,St Kilda,6
2006,Melbourne,7
2006,Western Bulldogs,8
2006,Richmond,9
2006,Geelong,10
2006,Hawthorn,11
2006,Port Adelaide,12
2006,Brisbane Lions,13
2006,North Melbourne,14
2006,Essendon,15
2006,Carlton,16
2007,Geelong,1
2007,Port Adelaide,2
2007,West Coast,3
2007,North Melbourne,4
2007,Hawthorn,5
2007,Collingwood,6
2007,Sydney,7
2007,Adelaide,8
2007,St Kilda,9
2007,Brisbane Lions,10
2007,Fremantle,11
2007,Essendon,12
2007,Western Bulldogs,13
2007,Melbourne,14
2007,Carlton,15
2007,Richmond,16
2008,Geelong,1
2008,Hawthorn,2
2008,Western Bulldogs,3
2008,St Kilda,4
2008,Adelaide,5
2008,Sydney,6
2008,North Melbourne,7
2008,Collingwood,8
2008,Richmond,9
2008,Brisbane Lions,10
2008,Carlton,11
2008,Essendon,12
2008,Port Adelaide,13
2008,Fremantle,14
2008,West Coast,15
2008,Melbourne,16
2009,St Kilda,1
2009,Geelong,2
2009,Western Bulldogs,3
2009,Collingwood,4
2009,Adelaide,5
2009,Brisbane Lions,6
2009,Carlton,7
2009,Essendon,8
2009,Hawthorn,9
2009,Port Adelaide,10
2009,West Coast,11
2009,Sydney,12
2009,North Melbourne,13
2009,Fremantle,14
2009,Richmond,15
2009,Melbourne,16
2010,Collingwood,1
2010,Geelong,2
2010,St Kilda,3
2010,Western Bulldogs,4
2010,Sydney,5
2010,Fremantle,6
2010,Hawthorn,7
2010,Carlton,8
2010,North Melbourne,9
2010,Port Adelaide,10
2010,Adelaide,11
2010,Melbourne,12
2010,Brisbane Lions,13
2010,Essendon,14
2010,Richmond,15
2010,West Coast,16
2011,Collingwood,1
2011,Geelong,2
2011,Hawthorn,3
2011,West Coast,4
2011,Carlton,5
2011,St Kilda,6
2011,Sydney,7
2011,Essendon,8
2011,North Melbourne,9
2011,Western Bulldogs,10
2011,Fremantle,11
2011,Richmond,12
2011,Melbourne,13
2011,Adelaide,14
2011,Brisbane Lions,15
2011,Port Adelaide,16
2011,Gold Coast,17
2012,Hawthorn,1
2012,Adelaide,2
2012,Sydney,3
2012,Collingwood,4
2012,West Coast,5
2012,Geelong,6
2012,Fremantle,7
2012,North Melbourne,8
2012,St Kilda,9
2012,Carlton,10
2012,Essendon,11
